,node_0,node_1,node_2,node_3,node_4
182,80.2,66.5,0.0,28.6,56.9
183,78.6,72.0,0.0,29.3,58.7
184,78.8,71.9,0.0,29.3,58.7
185,70.0,69.2,0.0,27.8,60.5
186,69.1,67.4,0.0,26.6,61.0
187,69.5,51.349999999999994,0.0,33.8,51.2
188,70.9,51.1,0.0,32.9,51.1
189,74.1,53.4,0.0,41.4,44.7
190,74.8,51.7,0.0,41.6,44.3
191,62.3,54.2,0.0,40.8,55.5
192,62.6,53.8,0.0,41.1,53.8
193,66.6,53.8,0.0,-35.9,56.7
194,64.1,53.9,0.0,-37.2,56.7
195,74.2,50.8,0.0,44.2,56.7
196,73.3,50.8,0.0,44.2,56.7
197,67.1,47.3,0.0,40.6,58.6
198,68.3,47.3,0.0,40.6,58.6
199,70.3,47.0,0.0,41.3,52.6
200,70.8,47.6,0.0,41.3,52.6
201,59.8,60.6,0.0,53.5,53.3
202,53.2,61.7,0.0,53.7,53.0
203,42.3,79.9,0.0,-52.9,52.8
204,43.2,78.3,0.0,-51.3,52.7
205,63.9,89.8,0.0,-50.7,61.0
206,64.5,90.2,0.0,-51.9,61.1
207,53.3,95.9,0.0,33.3,64.1
208,55.3,95.9,0.0,34.4,64.1
209,87.2,98.3,0.0,43.3,62.2
210,86.9,98.4,0.0,45.3,61.7
211,70.4,98.3,32.8,58.7,62.8
212,69.7,98.6,31.8,59.8,63.4
213,71.7,98.8,32.9,70.9,56.4
214,68.1,99.0,36.8,70.0,56.7
215,70.5,66.65,40.1,45.1,59.0
216,68.8,67.8,32.5,52.1,59.4
217,92.9,99.2,34.6,42.5,61.9
218,93.0,99.2,42.6,40.7,60.9
219,95.4,99.3,65.2,55.7,58.2
220,95.3,99.3,70.1,58.0,58.0
221,97.2,99.1,-52.1,28.7,57.5
222,97.1,99.1,-54.4,29.2,57.5
223,91.6,99.3,-61.3,29.0,57.0
224,89.8,99.3,-60.6,28.7,56.6
225,95.3,99.8,-32.9,-38.3,58.5
226,95.5,99.8,-41.0,-40.1,58.7
227,90.7,99.4,-50.8,31.8,63.2
228,91.1,99.4,-49.6,30.8,66.3
229,93.5,99.0,37.0,27.9,63.5
230,89.9,99.0,-39.2,28.9,64.2
231,91.8,98.3,-75.8,31.1,57.8
232,92.0,98.6,-74.2,32.2,57.5
233,59.8,98.7,52.5,24.0,56.8
234,60.2,98.8,52.5,24.2,56.7
235,53.7,98.9,37.5,37.3,55.4
236,51.2,99.0,42.1,37.4,55.4
237,70.3,97.4,30.4,-29.9,57.3
238,68.7,97.2,28.5,-31.6,57.3
239,57.3,94.2,46.2,46.5,58.1
240,58.3,94.8,46.2,47.2,61.9
241,51.0,65.8,38.2,32.9,65.5
242,51.3,65.8,38.6,33.2,65.5
243,44.1,72.8,28.5,46.4,62.6
244,52.1,73.3,28.3,47.2,62.4
245,61.6,89.3,32.2,28.3,63.2
246,61.3,89.1,34.8,28.0,63.2
247,82.7,69.6,29.4,39.7,64.7
248,81.4,64.2,30.0,40.7,64.7
249,82.1,41.7,-31.2,35.2,63.8
250,83.3,41.4,-30.0,34.8,63.8
251,42.8,35.6,-44.3,30.8,49.3
252,44.4,35.6,-43.7,28.9,49.7
253,47.8,38.2,-32.3,31.9,50.7
254,48.4,37.5,-33.2,32.8,51.7
255,50.5,35.9,29.2,30.3,47.0
256,49.0,35.7,28.6,32.1,47.0
257,63.0,36.1,33.8,33.2,51.2
258,60.4,36.1,32.1,33.4,51.6
259,46.2,36.3,33.2,29.0,61.5
260,46.2,36.3,33.1,29.4,61.5
261,55.9,36.9,27.6,27.7,63.1
262,54.3,36.9,27.7,28.0,63.6
263,64.0,0.0,24.4,0.0,53.7
264,66.0,0.0,24.2,0.0,53.1
265,63.5,41.4,32.7,0.0,51.7
266,66.6,41.8,33.1,0.0,52.0
267,86.9,40.7,39.1,0.0,58.7
268,88.1,38.7,36.4,0.0,58.7
269,91.5,34.8,40.0,31.2,66.2
270,91.7,34.8,40.6,30.6,66.2
271,91.6,37.1,49.1,39.4,53.6
272,91.0,37.2,48.5,39.4,53.6
273,97.9,33.9,-40.3,-37.9,59.8
274,98.0,32.0,-41.3,-38.4,59.6
275,98.4,34.5,38.5,31.3,62.1
276,98.4,35.8,-38.3,31.2,61.2
277,97.7,51.2,-39.5,41.4,60.2
278,97.2,51.2,-41.3,38.5,60.8
279,97.4,48.0,38.4,40.2,57.7
280,97.4,47.8,41.5,39.4,56.2
281,96.5,41.7,30.5,44.2,51.9
282,96.6,41.2,28.9,46.5,50.1
283,93.9,60.7,29.9,79.7,42.4
284,94.7,62.6,29.4,79.7,45.7
285,92.9,56.1,33.5,53.8,56.2
286,91.8,56.9,32.1,65.4,56.7
287,86.7,93.2,21.3,41.8,52.6
288,86.4,94.0,24.1,39.5,56.5
289,85.0,60.7,43.5,62.1,48.9
290,84.9,62.5,44.2,61.8,49.9
291,81.6,78.9,38.3,31.9,67.7
292,81.7,79.4,38.7,31.5,68.6
293,90.9,81.3,-33.0,31.4,62.2
294,90.7,78.7,-33.9,31.5,65.2
295,90.9,76.6,-45.0,31.3,67.1
296,92.4,75.6,-43.5,32.0,67.1
297,82.5,81.4,40.8,31.4,47.7
298,82.8,82.8,41.0,31.4,46.9
299,84.6,79.9,41.0,33.4,68.4
300,84.3,83.6,40.8,33.4,66.5
301,83.5,82.6,37.8,33.2,41.0
302,83.5,79.9,38.8,33.0,43.1
303,65.8,74.2,42.2,32.8,49.3
304,65.8,71.5,42.5,32.9,49.4
305,69.7,77.1,43.3,0.0,45.0
306,71.7,78.6,42.9,0.0,44.7
307,52.1,57.1,44.6,0.0,47.1
308,51.0,59.9,44.1,0.0,49.3
309,59.0,78.2,40.6,0.0,58.0
310,61.4,79.2,45.1,0.0,55.9
311,80.4,86.9,44.9,0.0,48.8
312,81.5,87.5,44.4,0.0,45.6
313,71.6,94.0,39.3,0.0,62.8
314,71.5,93.6,38.8,0.0,64.6
315,81.0,89.6,44.3,0.0,64.9
316,81.3,89.7,43.4,0.0,65.2
317,70.7,85.1,51.5,0.0,61.4
318,72.6,85.1,51.6,0.0,57.4
319,70.5,87.4,43.5,0.0,65.0
320,69.8,87.5,44.0,0.0,64.9
321,59.6,76.2,-70.1,0.0,67.0
322,58.4,75.4,-67.4,0.0,69.3
323,54.2,77.7,47.6,0.0,75.1
324,53.1,83.0,45.3,0.0,75.3
325,79.5,81.4,38.2,0.0,72.7
326,75.6,81.4,39.0,0.0,74.3
327,55.2,94.3,-37.9,0.0,70.7
328,59.9,94.4,-37.6,0.0,70.7
329,51.3,96.7,-41.2,0.0,71.5
330,46.2,97.8,-41.3,0.0,71.4
331,44.9,98.9,39.2,0.0,79.1
332,46.8,99.1,37.6,0.0,79.4
333,43.0,99.2,32.8,0.0,87.5
334,45.6,99.2,34.5,0.0,87.6
335,52.2,99.6,-33.3,0.0,77.6
336,53.2,99.6,-33.9,0.0,77.6
337,77.4,99.1,35.2,0.0,86.7
338,70.6,99.0,34.8,0.0,86.7
339,83.9,98.3,-34.7,0.0,85.6
340,85.0,98.2,-35.5,0.0,85.4
341,85.4,99.0,-40.5,0.0,87.1
342,86.9,99.1,-39.4,0.0,87.0
343,40.3,97.5,34.8,0.0,88.1
344,39.8,97.4,34.0,0.0,88.1
345,55.9,97.9,43.6,0.0,85.3
346,60.9,98.2,43.6,0.0,88.4
347,69.4,98.5,44.4,0.0,86.0
348,69.9,98.5,44.2,0.0,86.0
349,62.2,96.9,37.7,0.0,82.9
350,61.2,96.8,38.5,0.0,82.9
351,36.0,96.6,0.0,0.0,86.4
352,37.4,96.5,0.0,0.0,89.9
353,54.9,86.0,44.9,0.0,88.4
354,54.4,86.2,44.9,0.0,88.2
355,36.4,38.4,37.9,0.0,83.7
356,36.3,38.5,37.4,0.0,83.7
357,35.5,48.1,0.0,0.0,81.9
358,39.0,49.6,0.0,0.0,81.9
359,32.2,56.5,0.0,0.0,84.6
360,32.2,56.3,0.0,0.0,84.6
361,25.7,58.4,0.0,0.0,78.5
362,25.7,58.4,0.0,0.0,80.0
363,-45.1,46.0,36.1,0.0,83.7
